                     

WYKRES 0


*********************************DLA 5 WEZLOW*********************************


	Druga pochodna wzorami:
	0	0.478147	-0.958147	0.478147	0
	Druga pochodna z ilorazu roznicowego:
	1.46581e-09	0.0449432	-1.99003	0.0449432	1.46581e-09	             -5	    1.38879e-11
            4.1	      -0.272972
            4.2	      -0.382091
            4.3	      -0.474898
            4.4	      -0.553431
            4.5	       -0.61973
            4.6	      -0.675833
            4.7	      -0.723779
            4.8	      -0.765609
            4.9	       -0.80336
              5	      -0.839072
*********************************DLA 20 WEZLOW*********************************


	Druga pochodna wzorami:
	0	10.0523	1.60526	-8.31761	-10.5933	-3.12957	7.21148	10.9223	4.59124	-7.65159	-7.65159	4.59124	10.9223	7.21148	-3.12957	-10.5933	-8.31761	1.60526	10.0523	0
	Druga pochodna z ilorazu roznicowego:
	3.34511	3.63239	0.580063	-3.00557	-3.8279	-1.13087	2.60587	3.94679	1.65905	-2.15401	-2.15401	1.65905	3.94679	2.60587	-1.13087	-3.8279	-3.00557	0.580063	3.63239	3.34511	             -5	      -0.839072
           -4.9	      -0.892952
           -4.8	      -0.936965
           -4.7	      -0.961243
           -4.6	      -0.955921
           -4.5	       -0.91113
           -4.4	       -0.82017
           -4.3	         -0.689
           -4.2	      -0.526747
           -4.1	      -0.342539
             -4	        -0.1455
           -3.9	      0.0555717
           -3.8	       0.253197
           -3.7	       0.440227
           -3.6	       0.609512
           -3.5	       0.753902
           -3.4	       0.867112
           -3.3	        0.94631
           -3.2	        0.98953
           -3.1	       0.994806
             -3	        0.96017
           -2.9	        0.88497
           -2.8	       0.773805
           -2.7	        0.63259
           -2.6	       0.467237
           -2.5	       0.283662
           -2.4	      0.0881531
           -2.3	      -0.111499
           -2.2	      -0.307126
           -2.1	      -0.490564
             -2	      -0.653644
           -1.9	      -0.789097
           -1.8	      -0.893242
           -1.7	      -0.963296
           -1.6	      -0.996474
           -1.5	      -0.989992
           -1.4	      -0.942274
           -1.3	      -0.856572
           -1.2	      -0.737343
           -1.1	      -0.589049
             -1	      -0.416147
           -0.9	      -0.224065
           -0.8	     -0.0221076
           -0.7	       0.179454
           -0.6	       0.370348
           -0.5	       0.540302
           -0.4	       0.680756
           -0.3	       0.789998
           -0.2	       0.868028
           -0.1	       0.914846
   -1.02696e-15	       0.930452
            0.1	       0.914846
            0.2	       0.868028
            0.3	       0.789998
            0.4	       0.680756
            0.5	       0.540302
            0.6	       0.370348
            0.7	       0.179454
            0.8	     -0.0221076
            0.9	      -0.224065
              1	      -0.416147
            1.1	      -0.589049
            1.2	      -0.737343
            1.3	      -0.856572
            1.4	      -0.942274
            1.5	      -0.989992
            1.6	      -0.996474
            1.7	      -0.963296
            1.8	      -0.893242
            1.9	      -0.789097
              2	      -0.653644
            2.1	      -0.490564
            2.2	      -0.307126
            2.3	      -0.111499
            2.4	      0.0881531
            2.5	       0.283662
            2.6	       0.467237
            2.7	        0.63259
            2.8	       0.773805
            2.9	        0.88497
              3	        0.96017
            3.1	       0.994806
            3.2	        0.98953
            3.3	        0.94631
            3.4	       0.867112
            3.5	       0.753902
            3.6	       0.609512
            3.7	       0.440227
            3.8	       0.253197
            3.9	      0.0555717
              4	        -0.1455
            4.1	      -0.342539
            4.2	      -0.526747
            4.3	         -0.689
            4.4	       -0.82017
            4.5	       -0.91113
            4.6	      -0.955921
            4.7	      -0.961243
            4.8	      -0.936965
            4.9	      -0.892952
              5	      -0.839072
